weekday,holiday,holiday_name,total,timestamp,item_id
Wednesday,0,na,73.0,9/14/2016,Restaurant_Visitors
Thursday,0,na,93.0,9/15/2016,Restaurant_Visitors
Friday,0,na,140.0,9/16/2016,Restaurant_Visitors
Saturday,0,na,272.0,9/17/2016,Restaurant_Visitors
Sunday,0,na,211.0,9/18/2016,Restaurant_Visitors
Monday,0,na,119.0,9/19/2016,Restaurant_Visitors
Tuesday,0,na,51.0,9/20/2016,Restaurant_Visitors
Wednesday,0,na,120.0,9/21/2016,Restaurant_Visitors
Thursday,0,na,146.0,9/22/2016,Restaurant_Visitors
Friday,0,na,137.0,9/23/2016,Restaurant_Visitors
Saturday,0,na,207.0,9/24/2016,Restaurant_Visitors
Sunday,0,na,174.0,9/25/2016,Restaurant_Visitors
Monday,0,na,53.0,9/26/2016,Restaurant_Visitors
Tuesday,0,na,127.0,9/27/2016,Restaurant_Visitors
Wednesday,0,na,139.0,9/28/2016,Restaurant_Visitors
Thursday,0,na,57.0,9/29/2016,Restaurant_Visitors
Friday,0,na,129.0,9/30/2016,Restaurant_Visitors
Saturday,0,na,191.0,10/1/2016,Restaurant_Visitors
Sunday,0,na,171.0,10/2/2016,Restaurant_Visitors
Monday,0,na,74.0,10/3/2016,Restaurant_Visitors
Tuesday,0,na,105.0,10/4/2016,Restaurant_Visitors
Wednesday,0,na,58.0,10/5/2016,Restaurant_Visitors
Thursday,0,na,75.0,10/6/2016,Restaurant_Visitors
Friday,0,na,149.0,10/7/2016,Restaurant_Visitors
Saturday,0,na,228.0,10/8/2016,Restaurant_Visitors
Sunday,0,na,189.0,10/9/2016,Restaurant_Visitors
Monday,1,Columbus Day,194.0,10/10/2016,Restaurant_Visitors
Tuesday,0,na,86.0,10/11/2016,Restaurant_Visitors
Wednesday,0,na,72.0,10/12/2016,Restaurant_Visitors
Thursday,0,na,68.0,10/13/2016,Restaurant_Visitors
Friday,0,na,181.0,10/14/2016,Restaurant_Visitors
Saturday,0,na,214.0,10/15/2016,Restaurant_Visitors
Sunday,0,na,149.0,10/16/2016,Restaurant_Visitors
Monday,0,na,41.0,10/17/2016,Restaurant_Visitors
Tuesday,0,na,109.0,10/18/2016,Restaurant_Visitors
Wednesday,0,na,101.0,10/19/2016,Restaurant_Visitors
Thursday,0,na,79.0,10/20/2016,Restaurant_Visitors
Friday,0,na,121.0,10/21/2016,Restaurant_Visitors
Saturday,0,na,218.0,10/22/2016,Restaurant_Visitors
Sunday,0,na,142.0,10/23/2016,Restaurant_Visitors
Monday,0,na,79.0,10/24/2016,Restaurant_Visitors
Tuesday,0,na,96.0,10/25/2016,Restaurant_Visitors
Wednesday,0,na,85.0,10/26/2016,Restaurant_Visitors
Thursday,0,na,97.0,10/27/2016,Restaurant_Visitors
Friday,0,na,142.0,10/28/2016,Restaurant_Visitors
Saturday,0,na,256.0,10/29/2016,Restaurant_Visitors
Sunday,0,na,196.0,10/30/2016,Restaurant_Visitors
Monday,1,Halloween,181.0,10/31/2016,Restaurant_Visitors
Tuesday,0,na,110.0,11/1/2016,Restaurant_Visitors
Wednesday,0,na,121.0,11/2/2016,Restaurant_Visitors
Thursday,0,na,198.0,11/3/2016,Restaurant_Visitors
Friday,0,na,106.0,11/4/2016,Restaurant_Visitors
Saturday,0,na,203.0,11/5/2016,Restaurant_Visitors
Sunday,0,na,138.0,11/6/2016,Restaurant_Visitors
Monday,0,na,61.0,11/7/2016,Restaurant_Visitors
Tuesday,0,na,77.0,11/8/2016,Restaurant_Visitors
Wednesday,0,na,92.0,11/9/2016,Restaurant_Visitors
Thursday,0,na,83.0,11/10/2016,Restaurant_Visitors
Friday,1,Veterans' Day,207.0,11/11/2016,Restaurant_Visitors
Saturday,0,na,208.0,11/12/2016,Restaurant_Visitors
Sunday,0,na,149.0,11/13/2016,Restaurant_Visitors
Monday,0,na,77.0,11/14/2016,Restaurant_Visitors
Tuesday,0,na,62.0,11/15/2016,Restaurant_Visitors
Wednesday,0,na,120.0,11/16/2016,Restaurant_Visitors
Thursday,0,na,101.0,11/17/2016,Restaurant_Visitors
Friday,0,na,150.0,11/18/2016,Restaurant_Visitors
Saturday,0,na,206.0,11/19/2016,Restaurant_Visitors
Sunday,0,na,98.0,11/20/2016,Restaurant_Visitors
Monday,0,na,66.0,11/21/2016,Restaurant_Visitors
Tuesday,0,na,148.0,11/22/2016,Restaurant_Visitors
Wednesday,0,na,105.0,11/23/2016,Restaurant_Visitors
Thursday,1,Thanksgiving,65.0,11/24/2016,Restaurant_Visitors
Friday,1,Black Friday,235.0,11/25/2016,Restaurant_Visitors
Saturday,0,na,232.0,11/26/2016,Restaurant_Visitors
Sunday,0,na,155.0,11/27/2016,Restaurant_Visitors
Monday,0,na,71.0,11/28/2016,Restaurant_Visitors
Tuesday,0,na,97.0,11/29/2016,Restaurant_Visitors
Wednesday,0,na,102.0,11/30/2016,Restaurant_Visitors
Thursday,0,na,76.0,12/1/2016,Restaurant_Visitors
Friday,0,na,110.0,12/2/2016,Restaurant_Visitors
Saturday,0,na,230.0,12/3/2016,Restaurant_Visitors
Sunday,0,na,187.0,12/4/2016,Restaurant_Visitors
Monday,0,na,80.0,12/5/2016,Restaurant_Visitors
Tuesday,0,na,73.0,12/6/2016,Restaurant_Visitors
Wednesday,0,na,70.0,12/7/2016,Restaurant_Visitors
Thursday,0,na,93.0,12/8/2016,Restaurant_Visitors
Friday,0,na,140.0,12/9/2016,Restaurant_Visitors
Saturday,0,na,238.0,12/10/2016,Restaurant_Visitors
Sunday,0,na,184.0,12/11/2016,Restaurant_Visitors
Monday,0,na,66.0,12/12/2016,Restaurant_Visitors
Tuesday,0,na,103.0,12/13/2016,Restaurant_Visitors
Wednesday,0,na,120.0,12/14/2016,Restaurant_Visitors
Thursday,0,na,125.0,12/15/2016,Restaurant_Visitors
Friday,0,na,157.0,12/16/2016,Restaurant_Visitors
Saturday,0,na,246.0,12/17/2016,Restaurant_Visitors
Sunday,0,na,155.0,12/18/2016,Restaurant_Visitors
Monday,0,na,83.0,12/19/2016,Restaurant_Visitors
Tuesday,0,na,91.0,12/20/2016,Restaurant_Visitors
Wednesday,0,na,118.0,12/21/2016,Restaurant_Visitors
Thursday,0,na,181.0,12/22/2016,Restaurant_Visitors
Friday,0,na,196.0,12/23/2016,Restaurant_Visitors
Saturday,1,Christmas Eve,266.0,12/24/2016,Restaurant_Visitors
Sunday,1,Christmas Day,234.0,12/25/2016,Restaurant_Visitors
Monday,0,na,100.0,12/26/2016,Restaurant_Visitors
Tuesday,0,na,124.0,12/27/2016,Restaurant_Visitors
Wednesday,0,na,144.0,12/28/2016,Restaurant_Visitors
Thursday,0,na,122.0,12/29/2016,Restaurant_Visitors
Friday,0,na,196.0,12/30/2016,Restaurant_Visitors
Saturday,1,New Year's Eve,316.0,12/31/2016,Restaurant_Visitors
Sunday,1,New Year's Day,256.0,1/1/2017,Restaurant_Visitors
Monday,0,na,130.0,1/2/2017,Restaurant_Visitors
Tuesday,0,na,144.0,1/3/2017,Restaurant_Visitors
Wednesday,0,na,99.0,1/4/2017,Restaurant_Visitors
Thursday,0,na,75.0,1/5/2017,Restaurant_Visitors
Friday,0,na,91.0,1/6/2017,Restaurant_Visitors
Saturday,0,na,233.0,1/7/2017,Restaurant_Visitors
Sunday,0,na,172.0,1/8/2017,Restaurant_Visitors
Monday,0,na,91.0,1/9/2017,Restaurant_Visitors
Tuesday,0,na,69.0,1/10/2017,Restaurant_Visitors
Wednesday,0,na,62.0,1/11/2017,Restaurant_Visitors
Thursday,0,na,79.0,1/12/2017,Restaurant_Visitors
Friday,0,na,102.0,1/13/2017,Restaurant_Visitors
Saturday,0,na,226.0,1/14/2017,Restaurant_Visitors
Sunday,0,na,158.0,1/15/2017,Restaurant_Visitors
Monday,1,Martin Luther King Day,137.0,1/16/2017,Restaurant_Visitors
Tuesday,0,na,103.0,1/17/2017,Restaurant_Visitors
Wednesday,0,na,100.0,1/18/2017,Restaurant_Visitors
Thursday,0,na,70.0,1/19/2017,Restaurant_Visitors
Friday,0,na,125.0,1/20/2017,Restaurant_Visitors
Saturday,0,na,182.0,1/21/2017,Restaurant_Visitors
Sunday,0,na,146.0,1/22/2017,Restaurant_Visitors
Monday,0,na,62.0,1/23/2017,Restaurant_Visitors
Tuesday,0,na,82.0,1/24/2017,Restaurant_Visitors
Wednesday,0,na,115.0,1/25/2017,Restaurant_Visitors
Thursday,0,na,95.0,1/26/2017,Restaurant_Visitors
Friday,0,na,131.0,1/27/2017,Restaurant_Visitors
Saturday,0,na,250.0,1/28/2017,Restaurant_Visitors
Sunday,0,na,190.0,1/29/2017,Restaurant_Visitors
Monday,0,na,74.0,1/30/2017,Restaurant_Visitors
Tuesday,0,na,94.0,1/31/2017,Restaurant_Visitors
Wednesday,0,na,81.0,2/1/2017,Restaurant_Visitors
Thursday,1,Groundhog Day,67.0,2/2/2017,Restaurant_Visitors
Friday,0,na,121.0,2/3/2017,Restaurant_Visitors
Saturday,0,na,229.0,2/4/2017,Restaurant_Visitors
Sunday,0,na,157.0,2/5/2017,Restaurant_Visitors
Monday,0,na,60.0,2/6/2017,Restaurant_Visitors
Tuesday,0,na,65.0,2/7/2017,Restaurant_Visitors
Wednesday,0,na,112.0,2/8/2017,Restaurant_Visitors
Thursday,0,na,122.0,2/9/2017,Restaurant_Visitors
Friday,0,na,146.0,2/10/2017,Restaurant_Visitors
Saturday,0,na,219.0,2/11/2017,Restaurant_Visitors
Sunday,0,na,184.0,2/12/2017,Restaurant_Visitors
Monday,0,na,64.0,2/13/2017,Restaurant_Visitors
Tuesday,1,Valentine's Day,248.0,2/14/2017,Restaurant_Visitors
Wednesday,0,na,90.0,2/15/2017,Restaurant_Visitors
Thursday,0,na,110.0,2/16/2017,Restaurant_Visitors
Friday,0,na,140.0,2/17/2017,Restaurant_Visitors
Saturday,0,na,248.0,2/18/2017,Restaurant_Visitors
Sunday,0,na,162.0,2/19/2017,Restaurant_Visitors
Monday,1,Presidents Day,134.0,2/20/2017,Restaurant_Visitors
Tuesday,0,na,84.0,2/21/2017,Restaurant_Visitors
Wednesday,0,na,108.0,2/22/2017,Restaurant_Visitors
Thursday,0,na,118.0,2/23/2017,Restaurant_Visitors
Friday,0,na,144.0,2/24/2017,Restaurant_Visitors
Saturday,0,na,261.0,2/25/2017,Restaurant_Visitors
Sunday,0,na,153.0,2/26/2017,Restaurant_Visitors
Monday,0,na,78.0,2/27/2017,Restaurant_Visitors
Tuesday,0,na,123.0,2/28/2017,Restaurant_Visitors
Wednesday,0,na,61.0,3/1/2017,Restaurant_Visitors
Thursday,0,na,80.0,3/2/2017,Restaurant_Visitors
Friday,0,na,102.0,3/3/2017,Restaurant_Visitors
Saturday,0,na,237.0,3/4/2017,Restaurant_Visitors
Sunday,0,na,164.0,3/5/2017,Restaurant_Visitors
Monday,0,na,63.0,3/6/2017,Restaurant_Visitors
Tuesday,0,na,69.0,3/7/2017,Restaurant_Visitors
Wednesday,0,na,102.0,3/8/2017,Restaurant_Visitors
Thursday,0,na,111.0,3/9/2017,Restaurant_Visitors
Friday,0,na,155.0,3/10/2017,Restaurant_Visitors
Saturday,0,na,296.0,3/11/2017,Restaurant_Visitors
Sunday,0,na,158.0,3/12/2017,Restaurant_Visitors
Monday,0,na,98.0,3/13/2017,Restaurant_Visitors
Tuesday,0,na,86.0,3/14/2017,Restaurant_Visitors
Wednesday,0,na,62.0,3/15/2017,Restaurant_Visitors
Thursday,0,na,71.0,3/16/2017,Restaurant_Visitors
Friday,1,St. Patrick's Day,205.0,3/17/2017,Restaurant_Visitors
Saturday,0,na,179.0,3/18/2017,Restaurant_Visitors
Sunday,0,na,205.0,3/19/2017,Restaurant_Visitors
Monday,0,na,125.0,3/20/2017,Restaurant_Visitors
Tuesday,0,na,55.0,3/21/2017,Restaurant_Visitors
Wednesday,0,na,109.0,3/22/2017,Restaurant_Visitors
Thursday,0,na,84.0,3/23/2017,Restaurant_Visitors
Friday,0,na,154.0,3/24/2017,Restaurant_Visitors
Saturday,0,na,264.0,3/25/2017,Restaurant_Visitors
Sunday,0,na,146.0,3/26/2017,Restaurant_Visitors
Monday,0,na,98.0,3/27/2017,Restaurant_Visitors
Tuesday,0,na,97.0,3/28/2017,Restaurant_Visitors
Wednesday,0,na,140.0,3/29/2017,Restaurant_Visitors
Thursday,0,na,100.0,3/30/2017,Restaurant_Visitors
Friday,0,na,149.0,3/31/2017,Restaurant_Visitors
Saturday,0,na,196.0,4/1/2017,Restaurant_Visitors
Sunday,0,na,196.0,4/2/2017,Restaurant_Visitors
Monday,0,na,69.0,4/3/2017,Restaurant_Visitors
Tuesday,0,na,99.0,4/4/2017,Restaurant_Visitors
Wednesday,0,na,98.0,4/5/2017,Restaurant_Visitors
Thursday,0,na,74.0,4/6/2017,Restaurant_Visitors
Friday,0,na,162.0,4/7/2017,Restaurant_Visitors
Saturday,0,na,191.0,4/8/2017,Restaurant_Visitors
Sunday,0,na,177.0,4/9/2017,Restaurant_Visitors
Monday,0,na,73.0,4/10/2017,Restaurant_Visitors
Tuesday,0,na,77.0,4/11/2017,Restaurant_Visitors
Wednesday,0,na,89.0,4/12/2017,Restaurant_Visitors
Thursday,0,na,70.0,4/13/2017,Restaurant_Visitors
Friday,1,Good Friday,221.0,4/14/2017,Restaurant_Visitors
Saturday,0,na,218.0,4/15/2017,Restaurant_Visitors
Sunday,1,Easter,253.0,4/16/2017,Restaurant_Visitors
Monday,1,Easter Monday,140.0,4/17/2017,Restaurant_Visitors
Tuesday,0,na,91.0,4/18/2017,Restaurant_Visitors
Wednesday,0,na,79.0,4/19/2017,Restaurant_Visitors
Thursday,0,na,90.0,4/20/2017,Restaurant_Visitors
Friday,0,na,165.0,4/21/2017,Restaurant_Visitors
Saturday,0,na,226.0,4/22/2017,Restaurant_Visitors
Sunday,0,na,,4/23/2017,Restaurant_Visitors
Monday,0,na,,4/24/2017,Restaurant_Visitors
Tuesday,0,na,,4/25/2017,Restaurant_Visitors
Wednesday,0,na,,4/26/2017,Restaurant_Visitors
Thursday,0,na,,4/27/2017,Restaurant_Visitors
Friday,0,na,,4/28/2017,Restaurant_Visitors
Saturday,0,na,,4/29/2017,Restaurant_Visitors
Sunday,0,na,,4/30/2017,Restaurant_Visitors
Monday,0,na,,5/1/2017,Restaurant_Visitors
Tuesday,0,na,,5/2/2017,Restaurant_Visitors
Wednesday,0,na,,5/3/2017,Restaurant_Visitors
Thursday,0,na,,5/4/2017,Restaurant_Visitors
Friday,1,Cinco de Mayo,,5/5/2017,Restaurant_Visitors
Saturday,0,na,,5/6/2017,Restaurant_Visitors
Sunday,0,na,,5/7/2017,Restaurant_Visitors
Monday,0,na,,5/8/2017,Restaurant_Visitors
Tuesday,0,na,,5/9/2017,Restaurant_Visitors
Wednesday,0,na,,5/10/2017,Restaurant_Visitors
Thursday,0,na,,5/11/2017,Restaurant_Visitors
Friday,0,na,,5/12/2017,Restaurant_Visitors
Saturday,0,na,,5/13/2017,Restaurant_Visitors
Sunday,1,Mother's Day,,5/14/2017,Restaurant_Visitors
Monday,0,na,,5/15/2017,Restaurant_Visitors
Tuesday,0,na,,5/16/2017,Restaurant_Visitors
Wednesday,0,na,,5/17/2017,Restaurant_Visitors
Thursday,0,na,,5/18/2017,Restaurant_Visitors
Friday,0,na,,5/19/2017,Restaurant_Visitors
Saturday,0,na,,5/20/2017,Restaurant_Visitors
Sunday,0,na,,5/21/2017,Restaurant_Visitors
Monday,0,na,,5/22/2017,Restaurant_Visitors
Tuesday,0,na,,5/23/2017,Restaurant_Visitors
Wednesday,0,na,,5/24/2017,Restaurant_Visitors
Thursday,0,na,,5/25/2017,Restaurant_Visitors
Friday,0,na,,5/26/2017,Restaurant_Visitors
Saturday,0,na,,5/27/2017,Restaurant_Visitors
Sunday,0,na,,5/28/2017,Restaurant_Visitors
Monday,1,Memorial Day,,5/29/2017,Restaurant_Visitors
Tuesday,0,na,,5/30/2017,Restaurant_Visitors
Wednesday,0,na,,5/31/2017,Restaurant_Visitors
